,PERSUASION TAGS,,,,,,,,Total Persuasive,36,13
,,,,,,,,,,Persasive?,
POSTS,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
HTO1:HELLO,,,,,,,,,,0,0
PN60:HI <NAME>?,,,,,,,,,,0,0
HT01:YES.,,,,,,,,,,0,0
PN60:<NAME> AGAIN. HOW'S IT GOIN?,,,,,,,,,,0,0
HT01:S'ALRIGHT,,,,,,,,,,0,0
"PN60:OKAY, WE GOT A CALL OUT FOR <NAME>...UM...HE'S IN THE FIELD SOMEPLACE, WE'RE TRYING TO GET A HOLD OF HIM ... UM ... WE CHECKED ON <NAME>...HE'S IN THE CITY HERE BUT WE'RE NOT SURE EXACTLY WHERE RIGHT NOW BUT I EXPECT TO HEAR BACK ... WELL ...""PROBABLY WITHIN THE NEXT HALF HOUR OR SO EXACTLY WHERE HE IS.",,,,,,,,,,0,0
HTO1:THAT'S A LONG TIME.,,,,,,,,,,0,0
"PN60:WELL, IT'S NOT THAT LONG. (PAUSE) WHERE DO WE STAND NOW? WHAT DO YA...WHERE DO WE GO FROM HERE?""",,,,,,,,,,0,0
HT01:I HAVE...I HAVE TO GO OUT... I HAVE TO TERMINATE MYSELF. I INDUCE NO OTHER WAY OUT.,,,,,,,,,,0,0
PN60:WELL ... AS I SAID BEFORE I THINK YOU'RE SELLING YOURSELF SHORT ON THAT.,1,,,,,,,,justification,1,0
HTO1:NOBODY SELLS THEMSELF SHORT IF THEY HAVE TO PICK BETWEEN THE TWO.,,,,,,,,,,0,0
PN60:BUT YOU'RE MAKING ASSUMPTIONS THAT YOU ONLY HAVE A FEW CHOICES AND I DON'T THINK THAT'S NECESSARILY THE CASE.,1,,,,,,,,reason,1,0
HTO1:WELL IT ISN'T FAIR. I HAVE TO JOIN <NAME>.,,,,,,,,,,0,0
PN60:WELL AS I SAID BEFORE... I'M STILL TRYING TO CHECK ON ON THAT SITUATION TOO.,,,,,,,,,,0,0
HT01:NO SHE'S GONE I HAVE TO JOIN HER.,,,,,,,,,,0,0
PN60:WELL WE DON'T KNOW THAT FOR A FACT YET <NAME> ... YOU'RE MAKING AN ASSUMPTION.,1,,,,,,,,reason,1,0
"HT01:NO, I KNOW SHE'S GONE.""",,,,,,,,,,0,0
"PN60:THEN AGAIN THE PEOPLE THAT YOU'RE TRYING TO HELP, THEY NEED YOU.",1,,,,,,,,reason,1,0
HT01:THEY DON'T NEED ME',,,,,,,,,,0,0
PN60:WHO HAVE THEY GOT'?,,,,,,,,,,0,0
HT01:THEY'LL ....... THEY'LL DO IT FOR THEMSELVES NOW.,,,,,,,,,,0,0
PN60:WHO'S GOING TO DO IT FOR THEM?,,,,,,,,,,0,0
