,PERSUASION TAGS,,,,,,,,Total Persuasive,24,18
l,,,,,,,,,,Persasive?,
POSTS,OTHER,RECIPROCITY,COMMITMENT,CONSITENCY,LIKING,SCARCITY,AUTHORITY,SOCIAL PROOF,Additional Comments,W/ Other,W/o Other
Hostage Taker: GOT THE MONEY ?,,,,,,,,,,0,0
Person: IM IN THE GOT SOME YES AND IVE GOT IM WORKING ON IT LET ME ASK YOU THIS CA,,,,,,,,,,0,0
Hostage Taker: NO WAY HOW MUCH YOU HAVE ?,,,,,,,,,,0,0
Person: WELL I WANT YOU TO ANSWER MY QUESTION,,,,,,,,,,0,0
Hostage Taker: HOW MUCH YOU HAVE ?,,,,,,,,,,0,0
Person: IM NOT SURE BECAUSE I I,,,,,,,,,,0,0
Hostage Taker: TELL ME,,,,,,,,,,0,0
Person: IVE GOT OVER TEN THOUSAND AND I HAVE MORE,,,,,,,,,,0,0
Hostage Taker: BACK IN ONE HOUR,,,,,,,,,,0,0
Person: WHAT OKAY I APPRECIATE YOU CALLING ME BACK I AM TRYING TO COOPERATE WITH Y,,,,,1,,,,I appreciate you,1,1
Hostage Taker: CALLED THE COPS,,,,,,,,,,0,0
Person: I NO I HAVE NOT,,,,,,,,,,0,0
Hostage Taker: CALL THE POLICE REMEMBER DO NOT CALL THE POLICE,,,,,,,,,,0,0
Person: OKAY WELL ALL IM TRYING TO DO IS GET THE MONEY BUT I NEED TO EXPLAIN SOMET,,,,,,,,,,0,0
Hostage Taker: HOW LONG IT TAKE YOU TO HAVE THIS MONEY TOGETHER ?,,,,,,,,,,0,0
Person: WHAT IM TRYING TO DO IS CALL ALL MY BANKERS NOW BUT IT IS SATURDAY AND I H,1,,,,,,,,reason why it might take longer,1,0
Hostage Taker: HOW LONG IT TAKE YOU TO GET IT TOGETHER ?,,,,,,,,,,0,0
Person: WELL IT I IT DEPENDS ON WHAT IM ABLE TO DO WITH THESE BANKERS BUT I IM WIL,1,,,,,,,,reason why it might take longer,1,0
Hostage Taker: THIS IS NOT A GAME,,,,,,,,,,0,0
Person: WELL LET ME ASK YOU,,,,,,,,,,0,0
Hostage Taker: FUCKIN GAME,,,,,,,,,,0,0
Person: IM NOT PLAYING A GAME BUT IT IS SATURDAY AFTERNOON HOW TELL ME HOW I COULD,,,,,,,,,,0,0
Hostage Taker: FIND A WAY FIND A WAY,,,,,,,,,,0,0
Person: WELL WAIT CAN YOU SUGGEST SOMETHING ?,,,,,,,,,,0,0
Hostage Taker: OKAY,,,,,,,,,,0,0
Person: TELL ME WHAT I SHOULD DO BECAUSE IM CAN I CALL MY FRIENDS ?,,,,,,,,,,0,0
Hostage Taker: WHAT FRIENDS ?,,,,,,,,,,0,0
Person: I HAVE FRIENDS I COULD CALL MY FRIENDS AND TRY TO GET MONEY BUT NOBODY,,,,,,,,,,0,0
Hostage Taker: CALL EVERYBODY AND GET THE MONEY TOGETHER BY SIX OCLOCK TODAY,,,,,,1,,,timeline,1,1
Person: WELL NOW WAIT A SECOND LET ME ASK YOU THIS CAN YOU TAKE A CHECK ? I CAN G,,,1,,,,,,persuade him to take a check if he can't get the money together,1,1
Hostage Taker: TOGETHER AT SIX OCLOCK,,,,,,1,,,timeline,1,1
Person: WELL WHAT HELLO,,,,,,,,,,0,0
Hostage Taker: OKAY <NAME> YOU HAVE THE MONEY ?,,,,,,,,,,0,0
Person: UH YES I DO HAVE THE MONEY BUT I WANNA SAY SOMETHING TO YOU NOW I HAVE GOT,,,,,,,,,,0,0
Hostage Taker: TO MAKE SURE THAT HE IS OKAY AND IF IS <NAME> MESSAGE FOR YOU,,,,,,,,,,0,0
Person: IS ARE YOU IS HE THERE WITH YOU RIGHT NOW ?,,,,,,,,,,0,0
Hostage Taker: NO,,,,,,,,,,0,0
Person: HE IS NOT IS HE WITHIN FIVE MINUTES ?,,,,,,,,,,0,0
Hostage Taker: NO,,,,,,,,,,0,0
Person: OKAY WELL NOW WOULD YOU PLEASE I HAVE BEEN STRAIGHT WITH YOU AND I HAVE DO,,1,,,,,,,I've been straight with you,1,1
Hostage Taker: OKAY LISTEN TO THIS HOW MUCH YOU HAVE ?,,,,,,,,,,0,0
Person: I HAVE EXACTLY WHAT YOUVE ASKED FOR,,,,,,,,,,0,0
Hostage Taker: HOW MUCH YOU HAVE,,,,,,,,,,0,0
Person: THREE HUNDRED THOUSAND,,,,,,,,,,0,0
Hostage Taker: OKAY LISTEN WHAT YOU GOTTA DO NOW I HAVE A MESSAGE FOR YOU,,,,,,,,,,0,0
Person: OKAY,,,,,,,,,,0,0
Hostage Taker: HE SAY AND HE SAY LOVE EVERYBODY JUST TOLD ME,,,,,,,,,,0,0
Person: ALL RIGHT HOW LONG AGO DID HE TELL YOU THAT ?,,,,,,,,,,0,0
Hostage Taker: WHAT ?,,,,,,,,,,0,0
Person: HOW LONG AGO DID HE TELL YOU,,,,,,,,,,0,0
Hostage Taker: FIVE MINUTES AGO,,,,,,,,,,0,0
Person: HOW MANY ?,,,,,,,,,,0,0
Hostage Taker: FIVE MINUTES AGO,,,,,,,,,,0,0
Person: ALL RIGHT IF HES FIVE MINUTES WITH YOU I WANT YOU TO ASK HIM WHAT HIS FIRS,,,,,,,,,,0,0
Hostage Taker: HER LAST NAME IS <NAME> ?,,,,,,,,,,0,0
Person: HER WHAT <NAME> LAST NAME IS HIS GIRLFRIEND,,,,,,,,,,0,0
Hostage Taker: I I I ASK HIM,,,,,,,,,,0,0
Person: ALL RIGHT AND THEN YOU CALL ME RIGHT BACK AND WHEN YOU TELL ME WHAT,,,,,,,,,,0,0
Hostage Taker: BACK IN AN HOUR,,,,,,,,,,0,0
Person: ALL RIGHT SO HIS FIRST GIRLFRIENDS,,,,,,,,,,0,0
Hostage Taker: ILL CALL YOU BACK IN ABOUT AN HOUR,,,,,,,,,,0,0
Person: HIS FIRST THATLL BE FINE BUT NOW MAKE SURE SO WE DONT WASTE ANY TIME CAUSE,,,,,,,,,,0,0
Hostage Taker: OKAY,,,,,,,,,,0,0
Person: TELL <NAME> YOUR FIRST GIRLFRIEND <NAME> WHAT IS HER LAST NAME,,,,,,,,,,0,0
Hostage Taker: OKAY,,,,,,,,,,0,0
Person: AND THEN YOU CALL ME RIGHT BACK,,,,,,,,,,0,0
Hostage Taker: ALL RIGHT,,,,,,,,,,0,0
Person: ALL RIGHT HELLO,,,,,,,,,,0,0
Hostage Taker: WHAT IS NAME <NAME>,,,,,,,,,,0,0
Person: OKAY RIGHT OKAY WHAT DO YOU WANT ME TO DO NOW ?,,,,,,,,,,0,0
Hostage Taker: OKAY YOU GOTTA WAIT FOR MY CALL NOW I HAVE ANOTHER MESSAGE,,,,,,,,,,0,0
